date,value,cash,SPY_weight,TLT_weight,GLD_weight,SHV_weight
2020-09-28,259100.54372597314,-8.323562028894234,0.2322340944610853,0.2703057376020501,0.2731988247642782,0.2242934680068657
2020-09-29,259455.7198702941,-8.323562028894234,0.23065317797413368,0.2702470226760157,0.27512539559947163,0.22400648460808018
2020-09-30,258803.55994659703,-8.323562028894234,0.2329876188024494,0.26833125065947466,0.2741624416733473,0.22455085056308635
2020-10-01,259944.9663028644,-8.323562028894234,0.23345383100779482,0.2675936511379754,0.2753935358953787,0.22359100243667496
2020-10-02,259039.67411582603,-8.323562028894234,0.23204540974503682,0.2675260960379944,0.2761085447746509,0.2243520818253489
2020-10-05,259100.07946903305,-8.323562028894234,0.23610528138135872,0.2622377679489069,0.2773892981074685,0.22429977745410684
2020-10-06,257756.5914882427,-8.323562028894234,0.23396186046731587,0.265025322991009,0.2755558003060807,0.22548930856992766
2020-10-07,258270.77439604647,-8.323562028894234,0.23756047669002558,0.26256863090970023,0.27488311847541264,0.2250200019694336
2020-10-08,259433.12335783942,-8.323562028894234,0.2385921321220974,0.2628037628795993,0.27462435311030775,0.22401183553992543
2020-10-09,261267.0843603416,-8.323562028894234,0.23903303379552268,0.26091026148898605,0.27764917587012805,0.22243938728650314
2020-10-12,262285.9279527355,-8.323562028894234,0.2419350646294169,0.2607248307393535,0.2757764375081183,0.22159540181087695
2020-10-13,261223.67765335026,-8.323562028894234,0.24133354871286983,0.26365922639730693,0.2725425825034867,0.22249650612129235
2020-10-14,261194.94443802768,-8.323562028894234,0.23984348869717478,0.26429160475333247,0.27341610955823753,0.2224806642314378
2020-10-15,261264.00918137992,-8.323562028894234,0.23948381431411297,0.26376555268998836,0.27434048632745384,0.22244200548457096
2020-10-16,260786.16035818378,-8.323562028894234,0.23977763929667298,0.26351390823664445,0.2738907748667404,0.2228495947922405
2020-10-19,259606.45538853266,-8.323562028894234,0.23720518094998747,0.2637106245408667,0.2752742700468302,0.22384198669288083
2020-10-20,259546.2146114853,-8.323562028894234,0.2382106114472646,0.2612619792084177,0.2766655385117546,0.22389394050478437
2020-10-21,259735.78142784414,-8.323562028894234,0.23758622649786237,0.2601695187446319,0.2785457683532435,0.22373053267059917
2020-10-22,258662.69908733654,-8.323562028894234,0.23988053580943955,0.25853286900154177,0.2769600782020491,0.22465869619973683
2020-10-23,259205.94777211966,-8.323562028894234,0.24019048769843826,0.25956779442329664,0.27608597735676405,0.2241878522924709
2020-10-26,258645.35005787585,-8.323562028894234,0.23626275133788333,0.2625506833622415,0.2765449811483114,0.22467376552280063
2020-10-27,259078.58705258055,-8.323562028894234,0.2350545699646308,0.26387022364981855,0.2768092729039658,0.22429806103841446
2020-10-28,255903.30463728536,-8.323562028894234,0.22983746980641734,0.26739401934910406,0.27571985567845453,0.22708118136587394
2020-10-29,255549.67049487104,-8.323562028894234,0.23249478871304055,0.26516470423001437,0.27495705362227174,0.22741602464485244
2020-10-30,254587.48187647492,-8.323562028894234,0.2309406129502253,0.263540830978332,0.27725504679099616,0.22829620359034564
2020-11-02,256422.0024920576,-8.323562028894234,0.23185833942785988,0.26361529807914813,0.27794295717950235,0.2266158657184003
2020-11-03,257494.65259120485,-8.323562028894234,0.23496906168483295,0.2609943139029997,0.27835644203637466,0.22571250755981165
2020-11-04,260254.12845539456,-8.323562028894234,0.23767340953342753,0.26382842383887606,0.2752511008970463,0.22327904817057645
2020-11-05,263231.5609672579,-8.323562028894234,0.23956798003673205,0.2612975866198085,0.2783925293741185,0.22077352465341973
2020-11-06,262490.08607054607,-8.323562028894234,0.24018972727357202,0.25886909849926504,0.2795757244969293,0.22139715973556567
2020-11-09,258600.22366560998,-8.323562028894234,0.24686623535494803,0.2572410648671604,0.2712178340783028,0.22470705268655616
2020-11-10,258355.3029978613,-8.323562028894234,0.24673782603014346,0.2560000337996894,0.27237428283659615,0.22492007483378218
2020-11-11,258768.38785598558,-8.323562028894234,0.24817398053130313,0.2565138925646139,0.2707629212063898,0.22458137176750517
2020-11-12,259699.6054103895,-8.323562028894234,0.24488524065829875,0.2599435940810165,0.2714271366130016,0.22377607937804803
2020-11-13,260971.28616729862,-8.323562028894234,0.24706578360725656,0.2583339186188559,0.27194654606771507,0.2226856462572977
2020-11-16,261610.1491678254,-8.323562028894234,0.24953882174943345,0.25708402808065495,0.27126712830123223,0.22214183853196773
2020-11-17,261437.69304644602,-8.323562028894234,0.24836049471873706,0.2589328930219959,0.2704500765790381,0.22228837333122678
2020-11-18,260447.69655991736,-8.323562028894234,0.24630412788031894,0.2606699169137235,0.2699245927434697,0.22313332113265016
2020-11-19,260935.1668573272,-8.323562028894234,0.2468791321423636,0.2615225983446257,0.26891369750779226,0.2227164709712687
2020-11-20,261311.60399643407,-8.323562028894234,0.24483527966461488,0.26346212332380753,0.2693388172785999,0.22239563274639773
2020-11-23,259993.65289839735,-8.323562028894234,0.24755150383441943,0.2635845643229509,0.26537295310153924,0.22352299322273683
2020-11-24,259291.1327331624,-8.323562028894234,0.2522219921208262,0.26166830209220504,0.2620132033719342,0.22412860363631873
