date,open,high,low,close,volume,amount
2020-08-11,4730.3748,4791.5337,4674.8642,4681.7837,20554651100,350828586241.1000
2020-08-12,4668.8899,4681.6206,4566.2736,4647.6446,20288723900,347298673202.0000
2020-08-13,4666.4901,4671.7689,4626.1033,4635.7126,15255009200,250945872578.9000
2020-08-14,4627.6100,4708.0709,4617.6320,4704.6288,14729292100,254343934256.2000
2020-08-17,4727.1204,4838.0864,4721.3589,4815.2261,26800155600,416469154934.0000
2020-08-18,4816.5703,4825.3861,4788.8293,4812.7564,18913985400,314395904535.5000
2020-08-19,4804.6655,4809.0499,4738.0086,4740.6784,19244294800,319403284708.3000
2020-08-20,4708.1253,4721.4357,4662.8032,4679.1544,15836863900,260486563515.0000
2020-08-21,4717.7874,4739.4836,4684.8101,4718.8431,14265786400,251775160233.8000
2020-08-24,4746.4035,4769.4673,4716.6054,4755.8491,15114351200,272428686418.6000
2020-08-25,4769.2107,4802.4122,4746.3130,4761.9507,14170135100,262308788275.0000
2020-08-26,4761.7186,4786.4249,4689.8810,4706.1302,15130518000,277456360643.0000
2020-08-27,4718.0620,4731.9351,4679.3623,4731.3451,11904285000,223631511405.6000
2020-08-28,4727.2920,4850.4884,4719.3526,4844.2652,15939976500,305047882508.6000
2020-08-31,4870.9337,4901.2115,4816.2123,4816.2153,20256702900,357005064604.8000
2020-09-01,4803.3922,4842.1350,4791.7829,4842.1223,13839540200,262018070577.3000
2020-09-02,4859.0754,4863.5509,4797.5204,4843.8870,15798952400,280778613751.4000
2020-09-03,4841.5020,4877.0117,4800.0577,4817.0952,14567120100,279411988792.3000
2020-09-04,4737.2368,4778.2030,4726.5559,4770.2190,12003279600,238463337878.7000
2020-09-07,4759.5213,4789.3031,4655.5600,4669.3677,14860779100,282316394067.8000
2020-09-08,4683.8256,4707.8966,4639.0531,4694.3894,13919922700,249198138076.0000
2020-09-09,4634.2470,4645.1972,4558.0304,4584.5887,16227710700,244905191934.1000
2020-09-10,4632.0994,4647.7505,4572.2058,4581.9775,15065287800,226146354804.6000
2020-09-11,4572.2572,4630.8842,4563.1061,4627.2826,11530242400,198240927301.5000
2020-09-14,4652.0539,4666.9862,4625.9877,4651.0507,10723517900,211653411810.9000
2020-09-15,4649.4472,4691.4997,4630.5374,4688.4826,10191592500,194573684119.3000
2020-09-16,4683.0060,4690.6815,4638.4586,4657.3584,10875364100,196120184850.9000
2020-09-17,4642.0542,4664.9491,4601.6390,4632.7142,10598363100,214146647269.6000
2020-09-18,4636.6422,4737.8039,4631.7045,4737.0887,16042647500,281885944229.0000
2020-09-21,4750.7481,4752.9799,4688.7199,4691.4281,12453582700,224137912695.2000
2020-09-22,4654.2179,4706.2096,4622.1111,4635.7608,11967294700,202909215534.6000
2020-09-23,4639.6592,4665.9600,4623.5528,4652.3273,9582652800,190393472276.3000
2020-09-24,4623.9535,4631.9482,4562.2086,4563.0657,11259368300,193515873700.2000
2020-09-25,4582.4820,4599.5387,4554.7199,4570.0216,9301515500,167457376964.0000
2020-09-28,4582.6471,4613.6324,4571.1507,4581.9085,8504838900,159314675407.1000
2020-09-29,4608.2926,4616.6767,4586.3537,4591.7993,8599385800,159937888502.2000
2020-09-30,4607.5753,4634.7239,4563.4108,4587.3953,8908120000,165532220885.2000
2020-10-09,4663.6100,4695.4041,4655.0851,4681.1412,11133751200,229926731489.9000
2020-10-12,4705.1883,4823.2666,4704.1554,4823.1578,15578455800,307848558046.0000
2020-10-13,4812.8989,4845.9191,4795.3730,4839.2010,11651633800,242172567248.5000
2020-10-14,4830.4575,4830.4575,4795.9069,4807.1021,11190692300,229836207247.8000
2020-10-15,4810.7821,4833.8925,4796.2647,4798.7361,10996496200,213878285047.0000
2020-10-16,4798.9162,4825.5518,4765.9670,4791.6760,11671610200,204175130717.5000
2020-10-19,4823.4944,4849.6050,4747.3356,4755.4879,12924636100,225392198225.0000
2020-10-20,4751.3694,4793.4672,4739.4583,4793.4672,9804815600,185849198017.6000
2020-10-21,4801.6313,4801.6313,4758.8552,4792.8284,10380570300,189978697043.6000
2020-10-22,4780.5954,4791.8078,4725.4993,4777.9845,10135089100,194614971169.8000
2020-10-23,4775.4665,4802.4560,4717.0984,4718.4881,10682518400,200985821991.5000
2020-10-26,4684.0465,4713.3945,4639.3019,4691.2359,10834327500,205518988284.4000
2020-10-27,4680.1371,4708.4623,4671.8536,4699.2792,9265630400,186675545690.4000
2020-10-28,4703.0036,4753.3125,4685.6012,4737.2718,10846340200,226754264067.0000
2020-10-29,4683.6070,4803.0317,4679.2529,4772.9198,11711725000,252303504993.0000
2020-10-30,4776.4726,4778.5089,4683.4719,4695.3338,13980230300,280783321713.1000
2020-11-02,4702.7457,4738.0239,4695.4436,4720.8313,14286769300,279027685157.1000
2020-11-03,4743.1742,4793.3963,4734.1748,4777.5608,13605540800,252390556313.5000
2020-11-04,4781.4480,4825.4638,4770.5582,4813.6564,11466180600,230513773046.3000
2020-11-05,4861.3377,4885.1118,4837.9996,4885.1118,13924459400,281951932371.0000
2020-11-06,4897.6295,4897.6295,4845.4293,4885.7178,15363903400,305365103652.9000
2020-11-09,4918.8609,4997.8017,4918.8609,4981.3497,19713198400,371923282063.4000
2020-11-10,4995.4126,4995.4126,4928.9319,4953.8756,17626721400,334271459964.0000
2020-11-11,4937.7582,4957.5846,4901.7067,4904.8981,16447051500,303858557977.1000
2020-11-12,4916.7736,4926.3422,4891.5100,4908.4630,11811461900,227645907147.2000
2020-11-13,4886.9778,4886.9778,4825.7578,4856.8513,13369307900,255353111737.8000
2020-11-16,4880.9580,4904.1716,4848.6239,4904.1716,14877098000,266705031671.5000
2020-11-17,4903.1200,4909.2902,4865.3942,4894.7860,15148746400,288911408551.0000
